backend,model,mode,language,category,attempts,pass_rate,exact_rate,parse_error_rate,semantic_mismatch_rate,incomplete_rate,non_completable_rate
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:boolean,2,0.0,0.0,0.0,50.0,50.0,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:function,4,0.0,0.0,0.0,0.0,100.0,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:function_application,4,0.0,0.0,0.0,25.0,75.0,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:function_arithmetic,12,0.0,0.0,0.0,8.33,91.67,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:function_closure,2,0.0,0.0,0.0,0.0,100.0,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:function_composition,2,0.0,0.0,0.0,0.0,100.0,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:function_constant,1,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:function_float,4,0.0,0.0,0.0,0.0,100.0,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,fun,fun:function_higher_order,2,0.0,0.0,0.0,0.0,100.0,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,imp:arithmetic,2,50.0,0.0,0.0,50.0,0.0,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,imp:assignment,3,0.0,0.0,0.0,100.0,0.0,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,imp:boolean,2,0.0,0.0,0.0,50.0,50.0,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,imp:branching,6,0.0,0.0,0.0,66.67,33.33,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,imp:loops,4,0.0,0.0,0.0,50.0,50.0,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,imp:mixed_control,2,50.0,0.0,0.0,50.0,0.0,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,imp:nested_branching,3,0.0,0.0,0.0,33.33,66.67,0.0
local,Qwen/Qwen3.5-0.8B,constrained_direct,imp,imp:sequence,3,66.67,0.0,0.0,33.33,0.0,0.0
